,exp,edu,hab,v_tit,v_desc,sim
0,"Co-Founder & CBO (Chief Business Officer),Information Technology (IT) Manager,Planning, Budget and Processes Advisor,Information Technology (IT) Manager,Senior Systems Analyst","Master of Business Administration (MBA),BIG DATA (DATA SCIENCE),Computer Engineering (Focus on Software),Computer Software Engineering,Superior,Mechanical Technician – Full Qualification,Tecnologia em Mecânica Industrial","Big Data,Data Science,Machine Learning,Gestão de TI,Gestão de infraestrutura de TI,Spark,R (Linguagem de Programação),Hadoop,ERP (Planejamento de recursos empresariais),Planejamento estratégico,SQL,Oracle,Microsoft SQL Server,Banco de dados,Serviços web,Linux,Inteligência empresarial,Desenvolvimento de software,ITIL,MySQL,JavaScript,UML,Web Services,Databases,Desenvolvimento de sites,Protheus,BPMN,Sistemas operacionais,Data Mining,Business Intelligence,Análise Estatística,Software Development,Mineração de dados,Liderança de equipe,Scala,Functional programming,Computação em nuvem,Gestão de projetos,Amazon Web Services,PMP (Profissional de gestão de projeto),COBIT,Microsoft Project,Microsoft Excel,Aprendizado de máquina,ETL (Extração, transformação e carregamento),PL/SQL,Gerenciamento de serviços de TI,Project Management,Amazon Web Services (AWS),Gestão",Analista Júnior de ETL," Desenvolvimento e manutenção de processos de ETL utilizando SSIS (Microsoft SQL Server Integration Services., Experiência em: Modelagem data warehouse., Ensino Superior completo em Ciência da Computação, Sistema de Informação e áreas afins., Processos de carga ETL (extração-transformação- carga) nos bancos Oracle ou SQL Server PL/SQL, Data Manager, PowerCenter, Diferencial: SSIS (Integration Service), Data Tools, DataStage",0.246
1,the same,the same,the same,DBA SQL Server Sênior," Atuar com banco de dados: SQL Server e Oracle, otimização de Queries, Tuning, views, jobs, cluster, triggers, back-up e restore, performance, troubleshoot, desenvolvimento de procedures em ambiente complexos e infraestrutura, com modelagem de bases de dados e migração de versões de bancos de dados, com desenvolvimento e implantação de projetos BI e Big Data, ferramentas: Data Flow / Big Query / Data Studio. Desenvolver processos de integração com ETL e relatórios. Definir modelagem e modelos de dados BI., Experiência em administração de banco de dados. Ensino Superior.",0.2237
2,the same,the same,the same,CTO - Chief Technology Officer," Gerenciamento no desenvolvimento de sistemas e negócios, elaborando planilhas e relatórios da área., Experiência em tecnologia e negócio. Desejável experiência anterior em start up., Formação em Ciências da Computação ou Engenharia correlacionada., Conhecimentos avançados em arquitetura de sistemas, programação e projeto de software.",0.2115
3,the same,the same,the same,.NET Developer," Implementing of high quality and high performing Sitecore-based web solutions from detailed specifications. Working closely with our project managers, business analysts, QA teams and solution architects to deliver solutions on time and on budget to our clients., ASP.NET/C# development experience. Experience developing Sitecore web content management solutions. Experience designing and building business and data layers and functional libraries. Experience with creating and consuming web services., Understanding of object-oriented design and development. Base knowledge of HTML, CSS and Javascript concepts. University degree/college diploma in Computer Science or related major.",0.2113
4,the same,the same,the same,Desenvolvedor Big Data Full Stack Sênior," Irá atuar no Desenvolvimento, criação de data lake de soluções utilizando tecnologia scala, spark, hadoop. Com foco em Scala, Spark, Yarn, Map Reduce, Mesos, Kafka, Akka, Flume, Sqoop, Parquet, ORC, Hive, Hbase, Impala, Elastic Search, Kibana e Logstash., Ensino Superior completo em Computer Science., Certificação na Tecnologias de Big Data. Desejável Espanhol.",0.2078
5,the same,the same,the same,Coordenador de TI," Liderar Equipes e Gerenciamento de Projetos., Experiência em projetos de sistemas gerenciais de BI, datawarehouse., Conhecimento em Big Data e Analytics, Conhecimento R, métodos de data driven decision.",0.2007
6,the same,the same,the same,Analista Desenvolvedor Java," Atuar como desenvolvedor com atividades de suporte à usuário usando tecnologias Java num SaaS que aplica Big Data na gestão do crédito e cobrança e atuar com atividades de suporte à usuário usando tecnologias Java num SaaS que aplica Big Data na gestão do crédito e cobrança., Experiência avançada com programação Java + Java Web. Framework Spring (Mvc, Data, Rest, etc). SQL. HTML, CSS, Javascript, Bootstrap. Desenvolvimento e integrações de APIs Restful. Será um diferencial experiência com Big Data e AngularJS., Necessário Ensino Superior completo em Ciência da Computação ou cursos afins. Desejável especialização em curso ou concluída.",0.1903
7,the same,the same,the same,Analista de Banco de Dados," Responsável por executar especificação de arquitetura de referência em BIGData. Construção de Projetos e Provas de conceito e Projetos Piloto. Desenvolvimento de Projetos de BIGData, ETL. Atuação com produtos de mercado de BIG, Data, modelagem relacional e dimensional Queries / SQL e conceitos em bancos de dados relacionais. Conceitos em bancos de dados NoSQL e construção de Data Warehouses., Desejável conhecimento em Queries em MDX Big Data Hadoop Spark Machine Learning Python ou Linguagem R Modelagem de cubos. Experiência em projetos de BIG Data, atuando tecnicamente com produtos e arquiteturas. Experiência em projetos que envolvam análise de dados em tempo real. Ser Pleno / Sênior (depende do perfil exigido para a vaga), pró-ativo, boa comunicação, facilidade de entendimento e em condução de reuniões., Ter Ensino Superior em Tecnologia da Informação., Conhecimento em banco de dados Oracle e Postgres. Conhecimento em ferramentas ETL de mercado, preferencialmente Pentaho / kettle.",0.1901
8,the same,the same,the same,Cientista de Dados Sênior," Explorar os dados e criar insights. Criar modelos estatísticos aplicando inteligência sobre os dados. Entender necessidades internas e produzir analises que auxiliam a responder questões estratégicas. Detectar fraude ou anomalias nas operações de negocio. Utilizar machine learning e Big Data para ciar novos produtos e visões. Contribuir com discussões relacionadas a plataforma de Analytics e Big data, assim como levantamento de novas fontes de dados., Experiência na função., Superior completo em estatística., Conhecimentos em modelos e soluções para Machine Learning (Azure Machine Learning, Amazon Machine Learning). Conhecimentos avançados em R e Python. Desejável conhecimento em Hadoop e sistemas GIS.",0.1839
9,the same,the same,the same,Analista de Big Data," Realizará a implementação de web services SOAP/REST., Experiência com tratamento de dados em ambientes bigdata nas ferramentas, Apache hadoop, Apache Hive, Experiencia básica com tratamentos de dados., Conhecimento em arquitetura de Big Data, conhecimento básico em linguagem de programação,escala ou intermediário em Java.",0.1779
0,"CEO,Owner,Coordenador,Eng Sistemas","Especialização Big Data e Data Science,Data Science,Master of Computer Applications (M.C.A.),Computer Science,BSc,Eletronic Engineering","Linux,Network Administration,C",DBA SQL Server Sênior," Atuar com banco de dados: SQL Server e Oracle, otimização de Queries, Tuning, views, jobs, cluster, triggers, back-up e restore, performance, troubleshoot, desenvolvimento de procedures em ambiente complexos e infraestrutura, com modelagem de bases de dados e migração de versões de bancos de dados, com desenvolvimento e implantação de projetos BI e Big Data, ferramentas: Data Flow / Big Query / Data Studio. Desenvolver processos de integração com ETL e relatórios. Definir modelagem e modelos de dados BI., Experiência em administração de banco de dados. Ensino Superior.",0.2593
1,the same,the same,the same,Programador C++," Desenvolver aplicativos embarcados em dispositivos como roteadores, modems e máquinas de cobrança de cartão de crédito. Ser responsável por desenvolvimento de software de alta complexidade que gera dados de qualidade a serem armazenados em uma plataforma de Big Data., Formação Superior em Ciência da Computação ou Engenharia. Necessário conhecimento profundo de programação em C e C++. Desejável, mas não necessário, conhecimento de plataformas Big Data como Hadoop/Spark e ferramentas como JSON e Kibana. Necessário experiência comprovada em programação.",0.2043
2,the same,the same,the same,NETWORK ENGINEER," Support and administration of WAN network and Security technologies as well as Cisco Enterprise Wireless networks, Coordinate MPLS, VSAT and ISP managed services (changes, implementation), Provide periodical reports to the IT Supervisors with analysis (Capacity Planning), Ensure that IT network documentation and processes exist and are updated on a regular basis, Liaise with the IT Architecture team to ensure that IT network standards are deployed and conduct product evaluations of upgraded or new hardware and software, identifying strengths, weaknesses, and potential benefits to the company, Liaise with the IT Security team and ensure that high level of security standards are maintained and operated across any network, Communicate with vendors, management and network staff worldwide, Attend training courses, seminars, conferences and exhibitions when required., Bachelor degree in Computer Science., Good knowledge of L3, L2 protocols such as EIGRP, MPLS, VPNs, Spanning Tree. - ITIL Certified is Preferred, - Cisco certification is a plus (Recommended).",0.1897
3,the same,the same,the same,Desenvolvedor Big Data Full Stack Sênior," Irá atuar no Desenvolvimento, criação de data lake de soluções utilizando tecnologia scala, spark, hadoop. Com foco em Scala, Spark, Yarn, Map Reduce, Mesos, Kafka, Akka, Flume, Sqoop, Parquet, ORC, Hive, Hbase, Impala, Elastic Search, Kibana e Logstash., Ensino Superior completo em Computer Science., Certificação na Tecnologias de Big Data. Desejável Espanhol.",0.1659
4,the same,the same,the same,Coordenador de TI," Liderar Equipes e Gerenciamento de Projetos., Experiência em projetos de sistemas gerenciais de BI, datawarehouse., Conhecimento em Big Data e Analytics, Conhecimento R, métodos de data driven decision.",0.1611
5,the same,the same,the same,Analista Desenvolvedor Java," Atuar como desenvolvedor com atividades de suporte à usuário usando tecnologias Java num SaaS que aplica Big Data na gestão do crédito e cobrança e atuar com atividades de suporte à usuário usando tecnologias Java num SaaS que aplica Big Data na gestão do crédito e cobrança., Experiência avançada com programação Java + Java Web. Framework Spring (Mvc, Data, Rest, etc). SQL. HTML, CSS, Javascript, Bootstrap. Desenvolvimento e integrações de APIs Restful. Será um diferencial experiência com Big Data e AngularJS., Necessário Ensino Superior completo em Ciência da Computação ou cursos afins. Desejável especialização em curso ou concluída.",0.1493
6,the same,the same,the same,Analista de TI Júnior," Atuará na área de Engenharia da TV, para construção e manutenção de aplicações web e aplicativos orientados às áreas de negócio e ao telespectador., Conhecimento em Linguagens e tecnologias: PHP, JavaScript, HTML e CSS, Frameworks/Microframeworks: Laravel e Lumen, utilização de APIs REST, MySQL, versionamento GIT. Linguagem de programação Python, Desenvolvimento mobile - iOS/Android, Utilização de serviços cloud como AWS/Google/Azure/IBM, Conhece ou utiliza ferramentas de BigData, Conhece ou utiliza ferramentas de Data Science, Gerenciamento básico do Linux como ambiente básico de servidores e Utilização de shell scripts.",0.1414
7,the same,the same,the same,Analista de Banco de Dados," Responsável por executar especificação de arquitetura de referência em BIGData. Construção de Projetos e Provas de conceito e Projetos Piloto. Desenvolvimento de Projetos de BIGData, ETL. Atuação com produtos de mercado de BIG, Data, modelagem relacional e dimensional Queries / SQL e conceitos em bancos de dados relacionais. Conceitos em bancos de dados NoSQL e construção de Data Warehouses., Desejável conhecimento em Queries em MDX Big Data Hadoop Spark Machine Learning Python ou Linguagem R Modelagem de cubos. Experiência em projetos de BIG Data, atuando tecnicamente com produtos e arquiteturas. Experiência em projetos que envolvam análise de dados em tempo real. Ser Pleno / Sênior (depende do perfil exigido para a vaga), pró-ativo, boa comunicação, facilidade de entendimento e em condução de reuniões., Ter Ensino Superior em Tecnologia da Informação., Conhecimento em banco de dados Oracle e Postgres. Conhecimento em ferramentas ETL de mercado, preferencialmente Pentaho / kettle.",0.1404
8,the same,the same,the same,Network Engineer," Support and administration of WAN network and Security technologies as well as Cisco Enterprise Wireless networks; Coordinate MPLS, VSAT and ISP managed services (changes, implementation); Provide periodical reports to the IT Supervisors with analysis (Capacity Planning); Ensure that IT network documentation and processes exist and are updated on a regular basis; Liaise with the IT Architecture team to ensure that IT network standards are deployed and conduct product evaluations of upgraded or new hardware and software, identifying strengths, weaknesses, and potential benefits to the company; Liaise with the IT Security team and ensure that high level of security standards are maintained and operated across any network; Communicate with vendors, management and network staff worldwide; Attend training courses, seminars, conferences and exhibitions when required., Bachelor degree in Computer Science., Good knowledge of L3, L2 protocols such as EIGRP, MPLS, VPNs, Spanning Tree. - ITIL Certified is Preferred, - Cisco certification is a plus (Recommended).",0.1404
9,the same,the same,the same,Analista de Big Data," Realizará a implementação de web services SOAP/REST., Experiência com tratamento de dados em ambientes bigdata nas ferramentas, Apache hadoop, Apache Hive, Experiencia básica com tratamentos de dados., Conhecimento em arquitetura de Big Data, conhecimento básico em linguagem de programação,escala ou intermediário em Java.",0.1382
0,"Data Science Specialist,Senior Data Scientist (Credit Risk),Senior Decision Science Analyst,Data Scientist (Credit Risk Analyst - Analista de Modelagem de Crédito Pleno),Student Researcher,Internship","M.Sc. in Electrical Engineering (Computer Engineering),Mobile Robotics,Electrical Engineering,Automation and Control Engineer,Industrial Automation,Power Engineer,Transmission and Distribution Lines","R,Risk Modeling,Fraud Modeling,Machine Learning,SQL,Data Analysis,SAS programming,Regression Models,Multivariate Analysis,Big Data,Statistics,Electrical Engineering,Robotics,Artificial Intelligence,Matlab,Automation,Programming,Microsoft Office,C,Statistical Modeling,English,Research,SAS Programming",Desenvolvedor ETL Talend / Cloudera," ETL Developer with experience in development using Talend with strong programming skills with the related tool, mandatory participation in big projects with the related technologies, development and data migration between environments, Java programming experience and English for conversation are a differentials. Experience in Extracting, Transformation and load Data to and from Coursera Data Lake. We are looking for professional that think beyond the basics, to help build the solution bringing new ideas and solutions. Must have experience in large volume of data, development and deployment cycles and the entire test flow (plan, cases and execution). Problem solver, excellent communication and team work. Agile experience is a great differential, work closer to the business team . Design to extract , transform and load data sources to dashboards. Assist capacity planning and performance tuning. 3-4 years in ETL development using related tools., Ensino Superior., Inglês avançado.",0.1696
1,the same,the same,the same,Desenvolvedor SAS Jr," Conhecimento em SAS Base
Conhecimento em programação SAS BASE, Experiência na área de BI.",0.152
2,the same,the same,the same,Senior DevOps Engineer," UL Transaction Security is a member of the UL Family of Companies. Founded in 1894, UL is a premier safety company with more than a century of proven history, leading the world in enhancing safe living and working environments, facilitating global trade and serving as a trusted source of information and knowledge. UL employs over 11,000 professionals who work in over 100 countries. The Transaction Security division of UL extends this safety mission statement from the physical world to safety and security in the digital world. UL Transaction Security focuses on securing and certifying large, mission critical digital transaction infrastructures such as mobile, payment and ticketing networks and infrastructure. UL provides indepth technical advisory services, testing and certification services and accredited testing platforms to relevant stakeholders in the market. We are looking for a Sr. Systems and Network Administrator with a proven record in an Agile /DevOps Environment. This individual serves as a technical expert of systems and Network administration in a complex mission critical environment. Possesses the expertise to respond to systems malfunction or failure in a timely, effective, and complete manner. In pursuit of systems availability, performance, and security, fulfills complex IT requests and tasks, performs planning, implementation, and validation stages while operating independently. Maintains sensitivity to engineering deficiencies and oversights that threaten systems availability, Performance, and/or security, reports, logs, or addresses these issues with priority and timeliness commensurate with the degree of risk posed. Recognizes that the success or failure of our customers directly depends on IT\\\'s success or failure. Inspires our customers to trust our competence and character, to value our contribution, and to see us as teammates. Providing production support and operation for a 24x7 system. Planning for, and working with the project management and solution teams to procure and manage development infrastructure such as workstations, servers, storage, network and data protection. Configure and fine tune cloud infrastructure systems. Work closely with cloud architects and application teams to develop, plan and implement application deployments to public clouds. Drive technical innovation and efficiency in cloud infrastructure operations via automation scripting and working with API\\\'s. Support cloud servers including security configurations, patching, and troubleshooting. Develops descriptions of systems and business functional boundaries. Develops and maintains the comprehensive systems architectures, frameworks and application interfaces. Develops and maintains the comprehensive systems architectures, frameworks and application interfaces. Building broad internal practice around how applications and services are constructed using DevOps methodologies and tools. Design, install and configure internal and customer facing servers, network devices and firewalls. Develop and implement project plans, risk assessments and contingency plans. Design and implement monitoring, configuration management and reporting functions that will make. Define and document best practices and support procedures Mentor / cross train team members on existing and new technologies. Interact with customers and staff at the technical level, as required. Install and support LANs, WANs, network segments, Internet, and intranet systems. Install and maintain network hardware and software. Analyze and isolate issues. Evaluate and modify systems performance. Determine network and system requirements. Maintain integrity of the network, server deployment, and security. Ensure network connectivity throughout a company\\\'s LAN/WAN infrastructure is on par with technical considerations. Design and deploy networks. Perform network address assignment. Assign routing protocols and routing table configuration. Assign configuration of authentication and authorization of directory services. Maintain network facilities in individual machines, such as drivers and settings of personal computers as well as printers. Maintain network servers such as file servers, VPNgateways, intrusion detection systems. Administer servers, desktop computers, printers, routers, switches, firewalls, phones, personal digital assistants, smartphones, software deployment, security updates and patches. Maintaining system. Install product and system software. Create a backup and recovery policy. Monitor network communication. Update system as soon as new version of OS and application software comes out. Implement the policies for the use of the computer system and network. Setup security policies for users. A sysadmin must have a strong grasp of computer security (e.g. firewalls and intrusion detection systems), Bachelor\\\'s degree in computer science (or related area) preferred. Managing deployments/rollouts. DevOps and Agile Experience. Experience in Cloud based Environment. Managing large scale Citrix/2X/Terminal Server installations. A solid understanding of LAN/WAN networking. Cisco Certified Network Associate or profissional CCNA/ CCNP MCITP Server. Group Policy design and configuration Linux/UNIX administration. Ability to troubleshoot network issues including back bone infrastructure issues LAN Routing and Switching design, configuration and troubleshooting (VLANs, IP Subnetting, 802.1Q trunks). Strong communication and documentation skills. Positive, self motivated individual who can complete tasks independently. Must be a team player. Ability to effective manage a team and meet deadlines. In- depth knowledge of customer service principles and practices conflict management and resolution skills communication skills in disseminating information and vision. Demonstrated ability to lead a team with a solid vision and execute against targeted goals. Product knowledge of complex software product (financial preferred). Proficiency in speaking and writing both Portuguese and English.",0.1482
3,the same,the same,the same,Analista Desenvolvedor C++ / C#," Atuar C#, C/C++, Backend application, Multi treaded programming, Multi-tier programming, Object Oriented programming, JSON, XML., Necessário experiência., Conhecimentos: C#, C / C++, Backend application, Multi treaded programming, Multi-tier programming, Object Oriented programming, JSON, XML. Desejável: Banco de Dados No SQL, HTML 5 / CSS3.",0.1477
4,the same,the same,the same,Coordenador de TI," Liderar Equipes e Gerenciamento de Projetos., Experiência em projetos de sistemas gerenciais de BI, datawarehouse., Conhecimento em Big Data e Analytics, Conhecimento R, métodos de data driven decision.",0.1462
5,the same,the same,the same,Analista Desenvolvedor Java," Atuar como desenvolvedor com atividades de suporte à usuário usando tecnologias Java num SaaS que aplica Big Data na gestão do crédito e cobrança e atuar com atividades de suporte à usuário usando tecnologias Java num SaaS que aplica Big Data na gestão do crédito e cobrança., Experiência avançada com programação Java + Java Web. Framework Spring (Mvc, Data, Rest, etc). SQL. HTML, CSS, Javascript, Bootstrap. Desenvolvimento e integrações de APIs Restful. Será um diferencial experiência com Big Data e AngularJS., Necessário Ensino Superior completo em Ciência da Computação ou cursos afins. Desejável especialização em curso ou concluída.",0.1458
6,the same,the same,the same,Analista de Banco de Dados," Responsável por executar especificação de arquitetura de referência em BIGData. Construção de Projetos e Provas de conceito e Projetos Piloto. Desenvolvimento de Projetos de BIGData, ETL. Atuação com produtos de mercado de BIG, Data, modelagem relacional e dimensional Queries / SQL e conceitos em bancos de dados relacionais. Conceitos em bancos de dados NoSQL e construção de Data Warehouses., Desejável conhecimento em Queries em MDX Big Data Hadoop Spark Machine Learning Python ou Linguagem R Modelagem de cubos. Experiência em projetos de BIG Data, atuando tecnicamente com produtos e arquiteturas. Experiência em projetos que envolvam análise de dados em tempo real. Ser Pleno / Sênior (depende do perfil exigido para a vaga), pró-ativo, boa comunicação, facilidade de entendimento e em condução de reuniões., Ter Ensino Superior em Tecnologia da Informação., Conhecimento em banco de dados Oracle e Postgres. Conhecimento em ferramentas ETL de mercado, preferencialmente Pentaho / kettle.",0.1428
7,the same,the same,the same,Analista de Infraestrutura SAS," Manutenção de servidores e data center, criação de usuários e manutenção de grupos para concessão de privilégios com permissão de acesso., Conhecimentos com SAS e infraestrutura.",0.1339
8,the same,the same,the same,Analista de Sistemas - Power Center," Analisar e desenvolve projetos de sistemas, levanta requisitos, mapeia processos e realizar modelagem de dados, com objetivo de estudar e implementar sistemas de acordo com as regras de negócio. Analisar o desempenho de sistemas implantados, solucionar problemas técnicos e elaborar manuais., Experiência no suporte técnico especializado em informática power center., Conhecimentos em power center data Integration Developer Specialist. Data quality Developer Specialist. ILM Test data management Developer Specialist ou Power center data Integration Administrator Specialist.",0.133
9,the same,the same,the same,Desenvolvedor Business Intelligence," Programa, codifica e testa linguagens de programação, com base nos sistemas desenvolvidos pelos analistas. Executa a manutenção dos sistemas, fazendo eventuais correções necessárias, visando atender às necessidades dos usuários. Desenvolve os trabalhos de montagem, depuração e testes de programas, executando serviços de manutenção nos programas já desenvolvidos., Experiência em ETL, SAS Programming Language, SAS Guide e SAS DI.",0.1321
