,exp,edu,hab,v_tit,v_desc,sim
0,"Co-Founder & CBO (Chief Business Officer),Information Technology (IT) Manager,Planning, Budget and Processes Advisor,Information Technology (IT) Manager,Senior Systems Analyst","Master of Business Administration (MBA),BIG DATA (DATA SCIENCE),Computer Engineering (Focus on Software),Computer Software Engineering,Superior,Mechanical Technician – Full Qualification,Tecnologia em Mecânica Industrial","Big Data,Data Science,Machine Learning,Gestão de TI,Gestão de infraestrutura de TI,Spark,R (Linguagem de Programação),Hadoop,ERP (Planejamento de recursos empresariais),Planejamento estratégico,SQL,Oracle,Microsoft SQL Server,Banco de dados,Serviços web,Linux,Inteligência empresarial,Desenvolvimento de software,ITIL,MySQL,JavaScript,UML,Web Services,Databases,Desenvolvimento de sites,Protheus,BPMN,Sistemas operacionais,Data Mining,Business Intelligence,Análise Estatística,Software Development,Mineração de dados,Liderança de equipe,Scala,Functional programming,Computação em nuvem,Gestão de projetos,Amazon Web Services,PMP (Profissional de gestão de projeto),COBIT,Microsoft Project,Microsoft Excel,Aprendizado de máquina,ETL (Extração, transformação e carregamento),PL/SQL,Gerenciamento de serviços de TI,Project Management,Amazon Web Services (AWS),Gestão",Arquiteto Oracle Pleno," Atuar como arquiteto de soluções pacote Oracle., Conhecimentos em OSB, BPEL, BAM, OAG, SOA, OTD, WCS, OAM, OEM, BPM, Consultor sênior para as atividades relacionadas a aquisição de dados (integração de dados) e gerenciamento de Dados Mestre (MDM). Database Administration (OLTP and OLAP) Oracle RAC and Oracle Data Guard, Web Servers, WebCenter Portal Framework. Application Servers Administration, Security Administration (LDAP/ SSL), ETL process - Extract, Transform and Load(Oracle ODI), Replication in heterogeneous IT environments (Oracle GoldenGate).",0.7885
1,the same,the same,the same,Analista de Sistemas / Desenvolvimento," Atuar na área de análise e desenvolvimento de sistemas e desenvolvimento de Software., Ensino Superior completo na área de Tecnologia da Informação. Desejável Pós- Graduação na área de TI e áreas correlatas., Noções das melhores práticas de Gestão de TI (PMBOK, ISO 27001, ISO 27002, ITIL, COBIT) e metodologias ágeis (Scrum, FDD e XP). Capacidade para trabalhar em equipes multidisciplinares, focando mais nos resultados de toda equipe e do projeto como um todo ao invés de se dedicar apenas aos resultados individuais. Habilidades de organização, iniciativa, independência, relacionamento interpessoal. Habilidade de se comunicar sucintamente, com clareza, veracidade e urbanidade. Capacidade analítica e de julgamento que considere custo, benefício e risco. Busca do aprendizado contínuo. Negociação, Trabalho em Equipe, Trabalho sobre pressão e Organização. Oracle Certified Master, Java EE 6 Enterprise Architect ou Oracle Certified Professional, Java EE 6 Web Component Developer ou Java EE 6 Java Persistence API Developer Certified Expert (1Z0- 898) ou Java EE 6 JavaServer Faces Developer Certified Expert (1Z0-896) ou EE 6 Web Services Developer Certified Expert 1Z0-897 Oracle Application Express (APEX) 4: Developing Web Applications 1Z0-450 Oracle Forms: Build Internet Applications 1Z0-141 ou Oracle Forms Developer Release 1 to Rel. 6/6i New Features 1Z0-130 ou Oracle Forms: Build Internet Applications 1Z0-141 Oracle Mobile Development 2015 Essentials (1Z0- 441) ou Oracle Certified Professional Java ME 1 Mobile Application Developer ou Sun Certified Mobile Application Developer (SCMAD) ou Acumenio Phone Gap Certified Expert ou OESF Certified Engineer for Android™ (ACE) ou Alfresco Certified Engineer (ACE). Microsoft 70-480: Programming in HTML5 with JavaScript and CSS3. Java SE 6 Programmer Certified Professional 1Z0-851. Oracle Database 11g: Advanced PL/SQL 1Z0-146. Alfresco Certified Administrator (ACA). Alfresco Activiti Certified Administrator (AACA). Adobe Photoshop CS3 ou Adobe Dreamweaver CS3.",0.767
2,the same,the same,the same,Desenvolvedor .NET Sênior," Conceitos de testes (Unitários, funcionais, integração contínua), na maioria das tecnologias e ferramentas: HTML, XML, XHTML, CSS, JavaScript, jQuery, Apache Tomcat, C#, Asp.net, WPF, Angular JS, Entity Framework, MSSQL Server, MongoDB, SOLID, TDD. Processos de desenvolvimento (RUP, Scrum, XP). Teoria de banco de dados, gerência de transação, pool de conexões, padrões de projetos, UML., Desejável experiência em ERP, análise fiscal e varejo. , Formação Superior completo., Conhecimentos de negócio desejáveis: Fiscal: S@T, NFC-e, CT-e, MDF, NF-e, PAF - ECF, SINTEGRA, MFD, CAT52, Financeiro: CNAB (Bradesco, Santander, Banco do Brasil, Caixa, Itaú), DDA Itaú, Extrato (Bradesco, Santander, Banco do Brasil, Caixa). Logístico: Distribuição, estoque, expedição, recebimento, WMS.",0.7568
3,the same,the same,the same,Desenvolvedor .NET Pleno," Conceitos de testes (Unitários, funcionais, integração contínua), na maioria das tecnologias e ferramentas: HTML, XML, XHTML, CSS, JavaScript, jQuery, Apache Tomcat, C#, Asp.net, WPF, Angular JS, Entity Framework, MSSQL Server, MongoDB, SOLID, TDD. Processos de desenvolvimento (RUP, Scrum, XP). Teoria de banco de dados, gerência de transação, pool de conexões, padrões de projetos, UML., Desejável experiência em ERP, análise fiscal e varejo., Formação Superior completa., Conhecimentos de negócio desejáveis: Fiscal: S@T, NFC-e, CT-e, MDF, NF-e, PAF - ECF, SINTEGRA, MFD, CAT52, financeiro: CNAB (Bradesco, Santander, Banco do Brasil, Caixa, Itaú), DDA Itaú, Extrato (Bradesco, Santander, Banco do Brasil, Caixa). Logístico: Distribuição, estoque, expedição, recebimento, WMS.",0.7568
4,the same,the same,the same,Analista de Sistemas / Análise e Experiência de Usuário.," Atuar na área de análise e desenvolvimento de sistemas e desenvolvimento de Software., Ensino Superior completo na área de Tecnologia da Informação. Desejável Pós- Graduação na área de TI e áreas correlatas., Noções das melhores práticas de Gestão de TI (PMBOK, ISO 27001, ISO 27002, ITIL, COBIT) e metodologias ágeis (Scrum, FDD e XP). Capacidade para trabalhar em equipes multidisciplinares, focando mais nos resultados de toda equipe e do projeto como um todo ao invés de se dedicar apenas aos resultados individuais. Habilidades de organização, iniciativa, independência, relacionamento interpessoal. Habilidade de se comunicar sucintamente, com clareza, veracidade e urbanidade. Capacidade analítica e de julgamento que considere custo, benefício e risco. Busca do aprendizado contínuo. Negociação, Trabalho em Equipe, Trabalho sobre pressão e Organização. Human Factors Certified User Experience Analyst™ Certification (CXA) ou Human Factors Certified Usability Analyst (CUA) ou NN/g UX Interaction Design Certification ou NN/g UX Mobile Design Certification ou NN/g UX Management Certification ou NN/g UX Research Certification ou NN/g UX Web Design Certification ou NN/g UX Master Certification (UXMC). Certificações Desejáveis IREB Certified Professional for Requirements Engineering / Foundation Level (CPRE FL) ou IREB Certified Professional for Requirements Engineering / Advanced Level (CPRE AL) ou IREB Certified Professional for Requirements Engineering / Expert Level (CPRE EL) ou IREB Certified Professional for Requirements Engineering (CPRE RE@Agile) ou ALATS Certificação Brasileira de Teste de Software (CBTS) ou IBQTS Analista de Testes Certificado Nível Fundamental (ATC-NF) ou ISTQB Foundation Level (CTFL) ou iSQI Certified Agile Tester (CAT).",0.7551
5,the same,the same,the same,Analista de Negócio de TI," Consultoria e levantamento de requisitos Técnicos junto aos clientes / áreas de negócio. Contato cliente / área de negócio. Atuação com contato com equipe técnica nacional e internacional. Elaboração de propostas técnica e comercial e prazos, com: especificação, desenvolvimento, teste, implementação, Go Live e suporte / estabilização., Desejável Ensino Superior ou Tecnólogo. Conhecimentos em eletrônica analógica, eletrônica digital, programação de sistemas embarcados, sistemas operacionais embarcados, processamento digital de sinais, eletrônica embarcada com microcontroladores. Habilidades com arquitetura de processadores embarcados, redes e protocolo de comunicação para sistemas embarcados, além de sistemas operacionais de tempo real para microcontroladores (RTOS). Conhecimentos em eletrônica embarcada com IoT e FPGAs, com visão computacional e reconhecimento de padrões para sistemas embarcados. Facilidade com projetos e aplicação de sistemas embarcado, Programming Programmable Logic Controller, Electronic Vehicle Architecture and Software Integration usando protocolos de comunicação como ISO-K and CAN Networks, eletrônica embarcada para plataformas móveis (Handhelds e portable computers), com documentação de Produto & Change Management - PLM. Conhecimentos em tecnologias UML (casos de uso, diagrama de classe, diagrama de atividade, diagrama de sequência, diagrama de componentes), MER, C++ / Visual C++, C#, SQL (Stored procedures, triggers, CRUD), DB2, CMMI, metodologias baseadas no RUP Windows CE, com ferramentas: Enterprise Architect, SVN, Polarion, Microsoft Visual Studio, Microsoft SQL Server, .NET, QT Framework, Java J2SE and J2EE, Groovy, Ant, JUnit, Eclipse, SVN, SQL Server 2000, Visual Source Safe, MKS Integrity, Mercury HP Quality Center e Windows CE.",0.7543
6,the same,the same,the same,Analista de Infraestrutura Microsoft Azure," Atuará com arquitetura, implementação e trobleshooting de projetos no Microsoft Azure em IaaS e Paas além de suportar o time de operações na resolução de incidentes críticos., Conhecimento em Web Apps, Cloud Services, Virtual Machines, SQL Database, Storage, média Services, Redis Cache, Recovery Services, CDN, Automation, Scheduler, OMS, RemoteApp, Virtual Network, App Insights, Traffic Manager, Azure AD, ARM, EMS, Office 365, IIS, Windows Server, Active Directory, DNS, Cluster, NLB, Troubleshooting em Ambiente Web e Powershell. Desejável certificações técnicas Linux, MongoDB, Tomcat, Nginx, New Relic e MySQL.",0.754
7,the same,the same,the same,Lead DevOps Sênior," Liderar de forma hands-on uma equipe de DevOps para desenvolver e administrar um API que oferece serviços de recomendação e pesquisa em escala global. Baseado em Barueri e trabalhando em conjunto com equipes de Belo Horizonte e Melbourne, estará envolvido em todo o processo de concepção, construção e manutenção de produtos de escala mundial. Terá um perfil misto entre um Management e um DevOps., Ensino Superior Completo., Conhecimento Desenvolvimento em Python, C++, Java ou Scala, amazon Web Services (EC2, ELB, S3, VPC, Route 53), ferramentas de busca como: Elastic search, Solr; Caching, such as Redis or Memcached; REST API\\\'s and microservices.",0.752
8,the same,the same,the same,Analista de Requisitos na área de TI," Irá atuar com documentação de requisitos funcionais e não funcionais. Construção de Dicionário de Dados e modelo do Banco de Dados; Padrão UML; Redação de Casos de Uso; Prototipação de Telas; Técnicas de Entrevista; Engenharia de Software., Experiência comprovada com documentação de requisitos funcionais e não funcionais. Construção de Dicionário de Dados e modelo do Banco de Dados; Padrão UML; Redação de Casos de Uso; Prototipação de Telas; Técnicas de Entrevista; Engenharia de Software., Ensino Superior cursando em Sistema de Informação, Ciência da Computação ou áreas afins., Onhecimento desejável em: CMMI e MPS.BR; BPMN; Análise de Ponto de Função; Enterprise Architect; Microsoft Visio; Bizagi; SCRUM. Certificações desejadas: Certified Associate in Project Management (CAPM); Certified Business Analysis Professional (CBAP); Certificação Scrum Product Owner (CSPO); Certified Function Point Specialist (CFPS); Certified Software Measurement Specialist (CSMS); OCUP: OMG Certified UML Professional, OCEB: OMG-Certified in BPMN.",0.7515
9,the same,the same,the same,Cloud Developer," Atuar com arquiteturas em Cloud, na técnica Twelve Factor, linguagens estatísticas, em especial R e Python com relação a solução de arquitetura e desenvolvimento / configuração. Dar apoio com componentes de uma solução analítica, com aprendizagem de máquina, busca / recuperação de informação e algoritmos de processamento em linguagem natural., Experiência nas atividades descritas. , Ensino Superior., Conhecimentos técnicos em banco de dados NoSQL, Application Architecture, Digital Architect, Cloud Native Architecture, Event Driven Architecture, Domain Driven Development Microservices, DevOps, API Enablement, Spark, Weka, Mahout, Hadoop , Hive e HBase.",0.7513
0,"CEO,Owner,Coordenador,Eng Sistemas","Especialização Big Data e Data Science,Data Science,Master of Computer Applications (M.C.A.),Computer Science,BSc,Eletronic Engineering","Linux,Network Administration,C",Programador Back-end - Sênior," Design, architect and implement high-traffic, large-scale web APIs. Build infrastructure on top of AWS services: DynamoDB, RDS, SQS, ElastiCache, ElasticSearch, SNS, Route 53, CodeDeploy, CloudFormation., Trong experience developing data driven web applications (including knowledge in web servers, load balancing, caching, databases, replication, etc.)Strong understanding of object-oriented design and software development principles Excellent problem solving, analytic skills, excellent written and verbal communications skills You know how and where to store large amounts of data using SQL (MySql) and NoSQL (Redis, DynamoDB) databases. Git experience. Strong CS fundamentals Mastery of at least one object oriented language (Java, C#, C++, Ruby, Python). Experience working with Java RESTful frameworks and related tools. Cloud development/deployment/management (preferable AWS) Strong handle on the TCP and HTTP stack, request batching, request optimization, sockets and DNS. Experience working with systems engineering. Experience doing full stack development Experience scaling and monitoring systems on AWS. Experience with Java Experience with dynamic languages (Python, Ruby, Javascript). Experience automating systems orchestration with Ansible and CloudFormation, or similar technology. Familiarity of working on large-scale, high volume applications. DevOps Tools (Jenkins, Chef, Vagrant, Docker) , Graduação em andamento ou completa.",0.8036
1,the same,the same,the same,Analista de Sistemas Sênior," Participates as a member of development team. Completes development of units with designs prepared by more senior Developer. Participates in code reviews. Prepares and executes unit tests. Applies growing technical knowledge to maintain a technology area (e.g. Web-site Development). May perform unit design. Applies company and 3rd party technologies to software solutions of moderate complexity. Configures end-user or enterprise systems designed by more senior technologists. Performs work assigned by others. Provides time / resource estimates for assigned tasks., Typically a technical Bachelors degree or equivalent experience related experience or a Master\'s degree of experience. Knowledge and Skills: Experience writing code using languages such as (and not limited to) COBOL, PL/1, Java, C, C++, C#, VB.Net. Basic Understanding of RDBMS databases such SQL Server and Oracle. Basic understanding of modern software design and development methodologies (e.g., OO). Basic understanding of modern SCM (software configuration management). Basic understanding of testing tools and unit test scripting, and testing Methodologies. Experience using (or an understanding of the use of) an Integrated Development Environment (e.g., Eclipse, Visual Studio). Understanding of basic Database Administration. Understanding of quality and security standards. Good verbal and written communication skills.",0.7917
2,the same,the same,the same,Xamarin .NET / Mobile Developer," Act with simple animation, push notifications from the server, API connections and setup, and issue resolution. Work with current staff and assist in all deployment aspects. Work independently (including own access to software and hardware required) while communicating and collaborating with the team., Expertise in .Net C# development with Visual Studio, Xamarin, Android, iOS, Custom controls, Simple Animation, MVC, Entity Framework, SQL Server, Push Notifications, Restful APIs, Azure, Mobil App Services, API Management Services, Authentication using a custom data store / tokens, Setup and Publishing to the PlayStore and AppStore. Knowledge sharing and good communication skills are a must.",0.7877
3,the same,the same,the same,Desenvolvedor Android - Sênior," Will work with people with multidisciplinary skills (PO, UX / UI, Developer and QAs) in order to deliver the best experience for our user., Must have experience in Java or Kotlin Language, developing and designing advanced applications on the Android platform, GIT, we work with pull request, promoting a constant code-review, Agile methodologies (XP and Scrum). Experience with REST APIs and other external data sources, material design, Android Support Library. Proven mobile development. Work with different device dimensions (tablet, cell phone, etc). General knowledge of the mobile environment, such as architectures, standards, trends and emerging technologies. Familiar with the process of submitting apps to the Play Store. Nice if you have experience in continuous integration / continuous deploy (Travis). Experience with unit tests / automated UI tests, Fetch GraphQL APIs Google Analytics, React Native e iOS - Swift or Objective-c.",0.7877
4,the same,the same,the same,Front-End Developer," Use existing internal APIs and help develop new APIs to interact with the eShares back end services. Work closely with our full stack and backend engineers during feature development. Work closely with designers and product managers to help design front end products. Teach existing engineers best practices using modern JavaScript. Build reusable React components for use in your projects as well as company-wide projects. Build testing infrastructure to test front end code and React components., JavaScript frameworks/libraries like React or Angular.js. Very strong HTML5, CSS3, and JavaScript (ES6/ES7) skills. Strong communication skills. Comfortable regularly working in team environments. BS or MS in Computer Science or equivalent. Knowledge in React, Knockout.js, Sass, Python/Django, Postgres, Celery.",0.784
5,the same,the same,the same,Front-end Developer," Capable to understand UI/UX assets and transform them in live Web applications consuming REST APIs. Act as a CSS lead within the development team., Proven experience in React and Redux for Frontend applications. Proven experience in CSS 3 (including flexbox, animations and transitions). Proven Experience integrating Web Frontends with Rest APIs. Proven experience with SASS for CSS development., Knowledge in the Frontend development, including. Web Applications using React, Redux, CSS and HTML. Capable of integrating web frontends with REST endpoints. Capable of translating UI designs into actual products using CSS 3. Daily interaction with international customers. Acquaintance with Invision and Zeplin. Knowledge in Linux as a front-end developer.",0.7838
6,the same,the same,the same,Analista Java EE," Ava EE (mainly mainly knowledge on frameworks like spring and jsf), WebServices implementantion(SOA - Rest, Soap..), - basics skills to manage Application Servers ( handle deploys and logs ), - SQL - Javascript - GIT and GIT HUB - CI using Jenkins (or similar) Nice to have skills. NodeJS, - WebSphere (WAS), - Rational Team Concert (RTC) - Automation Testing (Soap UI / Selenium) - Continuous Deployment - Urban Code Descrição da vaga: Java Architect, with strong background on develoment to play an Architect role with a very hands on approach. Fluent in English and with excellent communication skills with customers, upline managers and directors and peers/stakeholders. Needs to have a solid background in Architecture, being able to interact with business team and peers to gather requirements, build technical solution, validate with all interested parties and drive the development effort. Needs to have a strong background in Development, either Front End and Back End (mainly back end), and needs to have a hands on profile, being able to provide detailed directions for the Development team as well as be in position to code. Needs to have background in Agile Principles and Practices., Experince on design thinking is a plus., Ensino Superior completo.",0.7834
7,the same,the same,the same,Microsoft CRM Developer," Basic knowledge of the Microsoft .NET platform. Some experience in software development., Basic knowledge of the Microsoft .NET platform. Some experience in software development. Intermediate level in English conversation., Experience with Microsoft CRM Dynamics or other CRM platforms. Knowledge of database fundamentals and SQL Server.",0.7831
8,the same,the same,the same,Desenvolvedor Web," Design, code and test software for mobile devices. Review and discuss software architecture solutions for backend and Front end web based systems. Review and discuss software requirements with external partners. Cooperate with team members to review software artifacts, define interfaces and discuss best approach to solve end-user needs., MS or BS in Computer Science or equivalent degree. Experience with software development. Knowledge of Web Applications architecture RESTful Web Services, HTML & JavaScript, Python, Java, Relational and nonrelational database, AngularJS, Java, Google Endpoints, Appengine Hibernate, CSS, Cloud Computing (AWS, Google Cloud, etc), Linux shell script, DevOps knowledge. Experience working in an Agile/Scrum development process, Knowledge of Git, Gerrit and Jenkins tools. Teamwork and good communication skills across multiple teams. Be able to work independently and respond to multiple and conflicting requests under tight deadlines in a dynamic working environment. Good communication skills in both written and spoken English.",0.7821
9,the same,the same,the same,Developer Unix System Programming," As a Senior Developer, you are responsible for development, support, maintenance and implementation of a complex project module. You should have good experience in application of standard software development principles. You should have in-depth knowledge of at least one development technology, programming language., Experience. , Ensino Superior., Mandatory Skills Devops Chef Unix Developer Tools, Unix Application Debugging, Unix System Internals, C Programming, Unix Shell Scripting, Perl Programming. Desirable Skills in PL-SQL, Java-J2EE Language.",0.7794
0,"Data Science Specialist,Senior Data Scientist (Credit Risk),Senior Decision Science Analyst,Data Scientist (Credit Risk Analyst - Analista de Modelagem de Crédito Pleno),Student Researcher,Internship","M.Sc. in Electrical Engineering (Computer Engineering),Mobile Robotics,Electrical Engineering,Automation and Control Engineer,Industrial Automation,Power Engineer,Transmission and Distribution Lines","R,Risk Modeling,Fraud Modeling,Machine Learning,SQL,Data Analysis,SAS programming,Regression Models,Multivariate Analysis,Big Data,Statistics,Electrical Engineering,Robotics,Artificial Intelligence,Matlab,Automation,Programming,Microsoft Office,C,Statistical Modeling,English,Research,SAS Programming",Consultor SAP FI," As a SAP Financial Analyst, you will provide support for Project System module & Investment Management module, and Finance Asset Accounting sub module (e.g. Fixed Assets). Provide support to include data interface /processes implemented in ExxonMobil SAP systems. He/she will also provide consultation and design services in response to requests for enhancements to the projects/fixed assets processes implemented in the respective systems. Since Intercompany is a highly customized area, technical skills is a must. Candidate will make part of a global team with functional supervisor in USA. Candidate will provide regular routine support to users located mostly in Americas and Europe. Participate on Projects related to Intercompany area., The ideal candidate will have: Strong knowledge in SAP including tables and structures for Project System module, Investment Management module, and Finance Asset Accounting (e.g. Fixed Assets) sub module. Strong knowledge of SAP master data and transactional data, including Project Systems objects- work break down structures, project networks, as well as integration with other modules like MM, FI/CO, SD. Accounting principles: intermediate. English language fluency ? verbal and written. SAP 4.6x: Intermediate. SAP Fi Acct Module: Intermediate. SAP PS Module: Expert. SAP R/3: Intermediate",0.8516
1,the same,the same,the same,Sap Bpc Develope," Knowledge on ABAP, Script Logic, Administration (Dimensions, Models and Security), Transformation Files, Conversion Files, Packages. Master Data and Transactional Data, Flat file upload, BADI experience. Experience working with BW objects. Knowledgeable with the testing activities such as Define, create and execute Test Cases. Able to analyze Functional/Technical specifications, Problem solving, Unit/Regression testing, Data Structures, working in teams and tight deadlines, Experience with Analysis of requirements and create Product requirements as well as design, Technical Specifications. Experience working with automation tools such as Tidal.",0.8485
2,the same,the same,the same,Sap Bw Developer," Provide a delivery status for the migration on a weekly basis, able to analyze Functional/Technical specifications, problem solving, Unit/Regression testing, Data Structures, working in teams and tight deadlines, Expert level (At least five years) experience working with Infocubes, Info Objects, Master Data and Hierarchy, Data modelling, ABAP (Routines / Transformations). Process chains, Analysis Authorizations, Data Extraction, Flat File uploads. Experience working with BPC objects is a Plus. Should have experience with Analysis of requirements and create Product requirements as well as design, Technical Specifications. Should have experience with Define, create and execute Test Cases. Experience working with automation tools such as Tidal.",0.8415
