,exp,edu,hab,v_tit,v_desc,sim
0,"Co-Founder & CBO (Chief Business Officer),Information Technology (IT) Manager,Planning, Budget and Processes Advisor,Information Technology (IT) Manager,Senior Systems Analyst","Master of Business Administration (MBA),BIG DATA (DATA SCIENCE),Computer Engineering (Focus on Software),Computer Software Engineering,Superior,Mechanical Technician – Full Qualification,Tecnologia em Mecânica Industrial","Big Data,Data Science,Machine Learning,Gestão de TI,Gestão de infraestrutura de TI,Spark,R (Linguagem de Programação),Hadoop,ERP (Planejamento de recursos empresariais),Planejamento estratégico,SQL,Oracle,Microsoft SQL Server,Banco de dados,Serviços web,Linux,Inteligência empresarial,Desenvolvimento de software,ITIL,MySQL,JavaScript,UML,Web Services,Databases,Desenvolvimento de sites,Protheus,BPMN,Sistemas operacionais,Data Mining,Business Intelligence,Análise Estatística,Software Development,Mineração de dados,Liderança de equipe,Scala,Functional programming,Computação em nuvem,Gestão de projetos,Amazon Web Services,PMP (Profissional de gestão de projeto),COBIT,Microsoft Project,Microsoft Excel,Aprendizado de máquina,ETL (Extração, transformação e carregamento),PL/SQL,Gerenciamento de serviços de TI,Project Management,Amazon Web Services (AWS),Gestão",Arquiteto Oracle Pleno," Atuar como arquiteto de soluções pacote Oracle., Conhecimentos em OSB, BPEL, BAM, OAG, SOA, OTD, WCS, OAM, OEM, BPM, Consultor sênior para as atividades relacionadas a aquisição de dados (integração de dados) e gerenciamento de Dados Mestre (MDM). Database Administration (OLTP and OLAP) Oracle RAC and Oracle Data Guard, Web Servers, WebCenter Portal Framework. Application Servers Administration, Security Administration (LDAP/ SSL), ETL process - Extract, Transform and Load(Oracle ODI), Replication in heterogeneous IT environments (Oracle GoldenGate).",0.6969
1,the same,the same,the same,Analista de Sistemas / Desenvolvimento," Atuar na área de análise e desenvolvimento de sistemas e desenvolvimento de Software., Ensino Superior completo na área de Tecnologia da Informação. Desejável Pós- Graduação na área de TI e áreas correlatas., Noções das melhores práticas de Gestão de TI (PMBOK, ISO 27001, ISO 27002, ITIL, COBIT) e metodologias ágeis (Scrum, FDD e XP). Capacidade para trabalhar em equipes multidisciplinares, focando mais nos resultados de toda equipe e do projeto como um todo ao invés de se dedicar apenas aos resultados individuais. Habilidades de organização, iniciativa, independência, relacionamento interpessoal. Habilidade de se comunicar sucintamente, com clareza, veracidade e urbanidade. Capacidade analítica e de julgamento que considere custo, benefício e risco. Busca do aprendizado contínuo. Negociação, Trabalho em Equipe, Trabalho sobre pressão e Organização. Oracle Certified Master, Java EE 6 Enterprise Architect ou Oracle Certified Professional, Java EE 6 Web Component Developer ou Java EE 6 Java Persistence API Developer Certified Expert (1Z0- 898) ou Java EE 6 JavaServer Faces Developer Certified Expert (1Z0-896) ou EE 6 Web Services Developer Certified Expert 1Z0-897 Oracle Application Express (APEX) 4: Developing Web Applications 1Z0-450 Oracle Forms: Build Internet Applications 1Z0-141 ou Oracle Forms Developer Release 1 to Rel. 6/6i New Features 1Z0-130 ou Oracle Forms: Build Internet Applications 1Z0-141 Oracle Mobile Development 2015 Essentials (1Z0- 441) ou Oracle Certified Professional Java ME 1 Mobile Application Developer ou Sun Certified Mobile Application Developer (SCMAD) ou Acumenio Phone Gap Certified Expert ou OESF Certified Engineer for Android™ (ACE) ou Alfresco Certified Engineer (ACE). Microsoft 70-480: Programming in HTML5 with JavaScript and CSS3. Java SE 6 Programmer Certified Professional 1Z0-851. Oracle Database 11g: Advanced PL/SQL 1Z0-146. Alfresco Certified Administrator (ACA). Alfresco Activiti Certified Administrator (AACA). Adobe Photoshop CS3 ou Adobe Dreamweaver CS3.",0.6816
2,the same,the same,the same,Desenvolvedor .NET Pleno," Atuar com conceitos de testes (unitários, funcionais, integração contínua), na maioria das tecnologias e ferramentas: HTML, XML, XHTML, CSS, JavaScript, jQuery, Apache Tomcat, C#, Asp.net, WPF, Angular JS, Entity Framework, MSSQL Server, MongoDB, SOLID, TDD, Processos de desenvolvimento (RUP, Scrum, XP). Teoria de banco de dados, gerência de transação, pool de conexões, padrões de projetos, UML., Conhecimentos de negócio desejáveis: Fiscal: S@T, NFC-e, CT-e, MDF, NF-e, PAF - ECF, SINTEGRA, MFD, CAT52. Financeiro: CNAB (Bradesco, Santander, Banco do Brasil, Caixa, Itaú), DDA Itaú, Extrato (Bradesco, Santander, Banco do Brasil, Caixa), Logístico: Distribuição, Estoque, Expedição, Recebimento, WMS. Desejável: Experiência em ERP, análise fiscal e varejo.",0.6745
3,the same,the same,the same,Desenvolvedor .NET Sênior," Atuar com conceitos de testes (unitários, funcionais, integração contínua); na maioria das tecnologias e ferramentas: HTML, XML, XHTML, CSS, JavaScript, jQuery, Apache Tomcat, C#, Asp.net, WPF, Angular JS, Entity Framework, MSSQL Server, MongoDB, SOLID, TDD, Processos de desenvolvimento (RUP, Scrum, XP). Teoria de banco de dados, gerencia de transação, pool de conexões, padrões de projetos, UML., Conhecimentos de negócio desejáveis: Fiscal: S@T, NFC-e, CT-e, MDF, NF-e, PAF - ECF, SINTEGRA, MFD, CAT52. Financeiro: CNAB (Bradesco, Santander, Banco do Brasil, Caixa, Itaú), DDA Itaú, Extrato (Bradesco, Santander, Banco do Brasil, Caixa). Logístico: Distribuição, Estoque, Expedição, Recebimento, WMS. Desejável: Experiência em ERP, análise fiscal e varejo.",0.6719
4,the same,the same,the same,Desenvolvedor .NET Sênior," Conceitos de testes (Unitários, funcionais, integração contínua), na maioria das tecnologias e ferramentas: HTML, XML, XHTML, CSS, JavaScript, jQuery, Apache Tomcat, C#, Asp.net, WPF, Angular JS, Entity Framework, MSSQL Server, MongoDB, SOLID, TDD. Processos de desenvolvimento (RUP, Scrum, XP). Teoria de banco de dados, gerência de transação, pool de conexões, padrões de projetos, UML., Desejável experiência em ERP, análise fiscal e varejo. , Formação Superior completo., Conhecimentos de negócio desejáveis: Fiscal: S@T, NFC-e, CT-e, MDF, NF-e, PAF - ECF, SINTEGRA, MFD, CAT52, Financeiro: CNAB (Bradesco, Santander, Banco do Brasil, Caixa, Itaú), DDA Itaú, Extrato (Bradesco, Santander, Banco do Brasil, Caixa). Logístico: Distribuição, estoque, expedição, recebimento, WMS.",0.6719
5,the same,the same,the same,Desenvolvedor .NET Pleno," Conceitos de testes (Unitários, funcionais, integração contínua), na maioria das tecnologias e ferramentas: HTML, XML, XHTML, CSS, JavaScript, jQuery, Apache Tomcat, C#, Asp.net, WPF, Angular JS, Entity Framework, MSSQL Server, MongoDB, SOLID, TDD. Processos de desenvolvimento (RUP, Scrum, XP). Teoria de banco de dados, gerência de transação, pool de conexões, padrões de projetos, UML., Desejável experiência em ERP, análise fiscal e varejo., Formação Superior completa., Conhecimentos de negócio desejáveis: Fiscal: S@T, NFC-e, CT-e, MDF, NF-e, PAF - ECF, SINTEGRA, MFD, CAT52, financeiro: CNAB (Bradesco, Santander, Banco do Brasil, Caixa, Itaú), DDA Itaú, Extrato (Bradesco, Santander, Banco do Brasil, Caixa). Logístico: Distribuição, estoque, expedição, recebimento, WMS.",0.6705
6,the same,the same,the same,PHP Sênior / Laravel Developer," Desenvolver produtos e serviços que agregam valor para a sociedade de forma sustentável com responsabilidade social e ambiental. Com o objetivo de influenciar positivamente o ambiente corporativo por meio da tecnologia Blockchain, tornando-o mais eficaz e flexível de acordo com as necessidades de cada mercado., Proficiency in PHP 7, Javascript and the Laravel MVC framework version 5.4. Fluency in written and spoken English. Experience in web application development. A STEM degree (Comp. Sci., Information Systems, I. T., Engineering, Math, etc.) is a plus",0.6702
7,the same,the same,the same,Analista de Sistemas / Análise e Experiência de Usuário.," Atuar na área de análise e desenvolvimento de sistemas e desenvolvimento de Software., Ensino Superior completo na área de Tecnologia da Informação. Desejável Pós- Graduação na área de TI e áreas correlatas., Noções das melhores práticas de Gestão de TI (PMBOK, ISO 27001, ISO 27002, ITIL, COBIT) e metodologias ágeis (Scrum, FDD e XP). Capacidade para trabalhar em equipes multidisciplinares, focando mais nos resultados de toda equipe e do projeto como um todo ao invés de se dedicar apenas aos resultados individuais. Habilidades de organização, iniciativa, independência, relacionamento interpessoal. Habilidade de se comunicar sucintamente, com clareza, veracidade e urbanidade. Capacidade analítica e de julgamento que considere custo, benefício e risco. Busca do aprendizado contínuo. Negociação, Trabalho em Equipe, Trabalho sobre pressão e Organização. Human Factors Certified User Experience Analyst™ Certification (CXA) ou Human Factors Certified Usability Analyst (CUA) ou NN/g UX Interaction Design Certification ou NN/g UX Mobile Design Certification ou NN/g UX Management Certification ou NN/g UX Research Certification ou NN/g UX Web Design Certification ou NN/g UX Master Certification (UXMC). Certificações Desejáveis IREB Certified Professional for Requirements Engineering / Foundation Level (CPRE FL) ou IREB Certified Professional for Requirements Engineering / Advanced Level (CPRE AL) ou IREB Certified Professional for Requirements Engineering / Expert Level (CPRE EL) ou IREB Certified Professional for Requirements Engineering (CPRE RE@Agile) ou ALATS Certificação Brasileira de Teste de Software (CBTS) ou IBQTS Analista de Testes Certificado Nível Fundamental (ATC-NF) ou ISTQB Foundation Level (CTFL) ou iSQI Certified Agile Tester (CAT).",0.6686
8,the same,the same,the same,Analista de Requisitos na área de TI," Irá atuar com documentação de requisitos funcionais e não funcionais. Construção de Dicionário de Dados e modelo do Banco de Dados; Padrão UML; Redação de Casos de Uso; Prototipação de Telas; Técnicas de Entrevista; Engenharia de Software., Experiência comprovada com documentação de requisitos funcionais e não funcionais. Construção de Dicionário de Dados e modelo do Banco de Dados; Padrão UML; Redação de Casos de Uso; Prototipação de Telas; Técnicas de Entrevista; Engenharia de Software., Ensino Superior cursando em Sistema de Informação, Ciência da Computação ou áreas afins., Onhecimento desejável em: CMMI e MPS.BR; BPMN; Análise de Ponto de Função; Enterprise Architect; Microsoft Visio; Bizagi; SCRUM. Certificações desejadas: Certified Associate in Project Management (CAPM); Certified Business Analysis Professional (CBAP); Certificação Scrum Product Owner (CSPO); Certified Function Point Specialist (CFPS); Certified Software Measurement Specialist (CSMS); OCUP: OMG Certified UML Professional, OCEB: OMG-Certified in BPMN.",0.6682
9,the same,the same,the same,Desenvolvedor PHP Full Stack," Atuar co refinamento de requisitos, planejamento e execução das tarefas que serão realizadas pelo time, POCs relacionadas a evolução do produto e elaboração de techtalks, discussão sobre arquitetura para sistemas de larga escala. Domínio na linguagem PHP e conhecimento ou vivência nas linguagens, Python, Java, JavaScript e GO. Superior completo em Ciências da Computação ou áreas correlatas. Experiência em dois ou mais: web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, developing large software systems, NoSQL/SQL databases and/or security software development., Superior completo ou cursando.",0.6662
0,"CEO,Owner,Coordenador,Eng Sistemas","Especialização Big Data e Data Science,Data Science,Master of Computer Applications (M.C.A.),Computer Science,BSc,Eletronic Engineering","Linux,Network Administration,C",Sap Bpc Develope," Knowledge on ABAP, Script Logic, Administration (Dimensions, Models and Security), Transformation Files, Conversion Files, Packages. Master Data and Transactional Data, Flat file upload, BADI experience. Experience working with BW objects. Knowledgeable with the testing activities such as Define, create and execute Test Cases. Able to analyze Functional/Technical specifications, Problem solving, Unit/Regression testing, Data Structures, working in teams and tight deadlines, Experience with Analysis of requirements and create Product requirements as well as design, Technical Specifications. Experience working with automation tools such as Tidal.",0.7119
1,the same,the same,the same,Software Engineer," Use open source technology, scrum, design sprints, squads and agile development Develop solutions to help consumers in the loan application process. Develop high quality code and to work in multi-disciplinary high- performance teams., Experience with back-end, Ruby skills, Unit, integration and acceptance testing, API design with JSON API spec, Object Oriented Design, Domain Driven Design (DDD), Refactoring Techniques, Messaging (Sidekiq, RabbitMQ), Git. Desirable experience with other programming languages, integrating with Ember or another SPA framework, infra provisioning (Ansible), Devops, Vanilla Javascript.",0.7088
2,the same,the same,the same,Programador Back-end - Sênior," Design, architect and implement high-traffic, large-scale web APIs. Build infrastructure on top of AWS services: DynamoDB, RDS, SQS, ElastiCache, ElasticSearch, SNS, Route 53, CodeDeploy, CloudFormation., Trong experience developing data driven web applications (including knowledge in web servers, load balancing, caching, databases, replication, etc.)Strong understanding of object-oriented design and software development principles Excellent problem solving, analytic skills, excellent written and verbal communications skills You know how and where to store large amounts of data using SQL (MySql) and NoSQL (Redis, DynamoDB) databases. Git experience. Strong CS fundamentals Mastery of at least one object oriented language (Java, C#, C++, Ruby, Python). Experience working with Java RESTful frameworks and related tools. Cloud development/deployment/management (preferable AWS) Strong handle on the TCP and HTTP stack, request batching, request optimization, sockets and DNS. Experience working with systems engineering. Experience doing full stack development Experience scaling and monitoring systems on AWS. Experience with Java Experience with dynamic languages (Python, Ruby, Javascript). Experience automating systems orchestration with Ansible and CloudFormation, or similar technology. Familiarity of working on large-scale, high volume applications. DevOps Tools (Jenkins, Chef, Vagrant, Docker) , Graduação em andamento ou completa.",0.7022
3,the same,the same,the same,.Net Developer," Atuar com ASP.NET, MVC, JQuery, ODP.NET, Entity framework, WCF and Oracle Data Base., Experience in ASP.NET, MVC, JQuery, ODP.NET, Entity framework, WCF and Oracle Data Base., Intermediate/Advanced English required. Preferred, but not essential: Knowledge of Agile Methodologies.",0.7008
4,the same,the same,the same,Xamarin .NET / Mobile Developer," Act with simple animation, push notifications from the server, API connections and setup, and issue resolution. Work with current staff and assist in all deployment aspects. Work independently (including own access to software and hardware required) while communicating and collaborating with the team., Expertise in .Net C# development with Visual Studio, Xamarin, Android, iOS, Custom controls, Simple Animation, MVC, Entity Framework, SQL Server, Push Notifications, Restful APIs, Azure, Mobil App Services, API Management Services, Authentication using a custom data store / tokens, Setup and Publishing to the PlayStore and AppStore. Knowledge sharing and good communication skills are a must.",0.7007
5,the same,the same,the same,Desenvolvedor Android - Sênior," Will work with people with multidisciplinary skills (PO, UX / UI, Developer and QAs) in order to deliver the best experience for our user., Must have experience in Java or Kotlin Language, developing and designing advanced applications on the Android platform, GIT, we work with pull request, promoting a constant code-review, Agile methodologies (XP and Scrum). Experience with REST APIs and other external data sources, material design, Android Support Library. Proven mobile development. Work with different device dimensions (tablet, cell phone, etc). General knowledge of the mobile environment, such as architectures, standards, trends and emerging technologies. Familiar with the process of submitting apps to the Play Store. Nice if you have experience in continuous integration / continuous deploy (Travis). Experience with unit tests / automated UI tests, Fetch GraphQL APIs Google Analytics, React Native e iOS - Swift or Objective-c.",0.6976
6,the same,the same,the same,Front-end Developer," Capable to understand UI/UX assets and transform them in live Web applications consuming REST APIs. Act as a CSS lead within the development team., Proven experience in React and Redux for Frontend applications. Proven experience in CSS 3 (including flexbox, animations and transitions). Proven Experience integrating Web Frontends with Rest APIs. Proven experience with SASS for CSS development., Knowledge in the Frontend development, including. Web Applications using React, Redux, CSS and HTML. Capable of integrating web frontends with REST endpoints. Capable of translating UI designs into actual products using CSS 3. Daily interaction with international customers. Acquaintance with Invision and Zeplin. Knowledge in Linux as a front-end developer.",0.6973
7,the same,the same,the same,Analista Java EE," Ava EE (mainly mainly knowledge on frameworks like spring and jsf), WebServices implementantion(SOA - Rest, Soap..), - basics skills to manage Application Servers ( handle deploys and logs ), - SQL - Javascript - GIT and GIT HUB - CI using Jenkins (or similar) Nice to have skills. NodeJS, - WebSphere (WAS), - Rational Team Concert (RTC) - Automation Testing (Soap UI / Selenium) - Continuous Deployment - Urban Code Descrição da vaga: Java Architect, with strong background on develoment to play an Architect role with a very hands on approach. Fluent in English and with excellent communication skills with customers, upline managers and directors and peers/stakeholders. Needs to have a solid background in Architecture, being able to interact with business team and peers to gather requirements, build technical solution, validate with all interested parties and drive the development effort. Needs to have a strong background in Development, either Front End and Back End (mainly back end), and needs to have a hands on profile, being able to provide detailed directions for the Development team as well as be in position to code. Needs to have background in Agile Principles and Practices., Experince on design thinking is a plus., Ensino Superior completo.",0.6966
8,the same,the same,the same,Microsoft CRM Developer," Basic knowledge of the Microsoft .NET platform. Some experience in software development., Basic knowledge of the Microsoft .NET platform. Some experience in software development. Intermediate level in English conversation., Experience with Microsoft CRM Dynamics or other CRM platforms. Knowledge of database fundamentals and SQL Server.",0.6961
9,the same,the same,the same,Analista Desenvolvedor," Knowledge of the application of PACS and RIS, Digital Radiology equipment Knowledge, CT, MRI, Nuclear Medicine, Ultrasound, etc. DICOM protocol Domain, Knowledge of computer networks - TCP-IP, Knowledge of PACS / RIS integration, Knowledge HL7, Knowledge Worklist, Knowledge in peripheral HDW w SFTW, Teaching workflow key-users and radiologists. Teaching RIS&PACS to key-users and radiologists. Manager project during implementation. Ensures greater agility in customer service, in solving technical problems. Perform self-training using e-learning tools through the portal of Carestream Health. Keep up to date with new releases and patches sent through the specific sites for this type of content., Training in Technician, Data Processing, Computer Engineering, Systems Analysis, Project Management or related fields. Knowledge Java, C#, Oracle, Firebird, SQL Server, Postgre. Workflow Knowledge Diagnostics Clinical Imaging and Hospitals. ",0.6955
0,"Data Science Specialist,Senior Data Scientist (Credit Risk),Senior Decision Science Analyst,Data Scientist (Credit Risk Analyst - Analista de Modelagem de Crédito Pleno),Student Researcher,Internship","M.Sc. in Electrical Engineering (Computer Engineering),Mobile Robotics,Electrical Engineering,Automation and Control Engineer,Industrial Automation,Power Engineer,Transmission and Distribution Lines","R,Risk Modeling,Fraud Modeling,Machine Learning,SQL,Data Analysis,SAS programming,Regression Models,Multivariate Analysis,Big Data,Statistics,Electrical Engineering,Robotics,Artificial Intelligence,Matlab,Automation,Programming,Microsoft Office,C,Statistical Modeling,English,Research,SAS Programming",Sap Bpc Develope," Knowledge on ABAP, Script Logic, Administration (Dimensions, Models and Security), Transformation Files, Conversion Files, Packages. Master Data and Transactional Data, Flat file upload, BADI experience. Experience working with BW objects. Knowledgeable with the testing activities such as Define, create and execute Test Cases. Able to analyze Functional/Technical specifications, Problem solving, Unit/Regression testing, Data Structures, working in teams and tight deadlines, Experience with Analysis of requirements and create Product requirements as well as design, Technical Specifications. Experience working with automation tools such as Tidal.",0.7889
1,the same,the same,the same,Programador Back-end - Sênior," Design, architect and implement high-traffic, large-scale web APIs. Build infrastructure on top of AWS services: DynamoDB, RDS, SQS, ElastiCache, ElasticSearch, SNS, Route 53, CodeDeploy, CloudFormation., Trong experience developing data driven web applications (including knowledge in web servers, load balancing, caching, databases, replication, etc.)Strong understanding of object-oriented design and software development principles Excellent problem solving, analytic skills, excellent written and verbal communications skills You know how and where to store large amounts of data using SQL (MySql) and NoSQL (Redis, DynamoDB) databases. Git experience. Strong CS fundamentals Mastery of at least one object oriented language (Java, C#, C++, Ruby, Python). Experience working with Java RESTful frameworks and related tools. Cloud development/deployment/management (preferable AWS) Strong handle on the TCP and HTTP stack, request batching, request optimization, sockets and DNS. Experience working with systems engineering. Experience doing full stack development Experience scaling and monitoring systems on AWS. Experience with Java Experience with dynamic languages (Python, Ruby, Javascript). Experience automating systems orchestration with Ansible and CloudFormation, or similar technology. Familiarity of working on large-scale, high volume applications. DevOps Tools (Jenkins, Chef, Vagrant, Docker) , Graduação em andamento ou completa.",0.7755
2,the same,the same,the same,Xamarin .NET / Mobile Developer," Act with simple animation, push notifications from the server, API connections and setup, and issue resolution. Work with current staff and assist in all deployment aspects. Work independently (including own access to software and hardware required) while communicating and collaborating with the team., Expertise in .Net C# development with Visual Studio, Xamarin, Android, iOS, Custom controls, Simple Animation, MVC, Entity Framework, SQL Server, Push Notifications, Restful APIs, Azure, Mobil App Services, API Management Services, Authentication using a custom data store / tokens, Setup and Publishing to the PlayStore and AppStore. Knowledge sharing and good communication skills are a must.",0.7738
3,the same,the same,the same,Desenvolvedor Android - Sênior," Will work with people with multidisciplinary skills (PO, UX / UI, Developer and QAs) in order to deliver the best experience for our user., Must have experience in Java or Kotlin Language, developing and designing advanced applications on the Android platform, GIT, we work with pull request, promoting a constant code-review, Agile methodologies (XP and Scrum). Experience with REST APIs and other external data sources, material design, Android Support Library. Proven mobile development. Work with different device dimensions (tablet, cell phone, etc). General knowledge of the mobile environment, such as architectures, standards, trends and emerging technologies. Familiar with the process of submitting apps to the Play Store. Nice if you have experience in continuous integration / continuous deploy (Travis). Experience with unit tests / automated UI tests, Fetch GraphQL APIs Google Analytics, React Native e iOS - Swift or Objective-c.",0.7726
4,the same,the same,the same,Senior 3D Web Developer - Unity," Develop responsive, enterprise web and mobile web applications and APIs using modern web technologies (JavaScripts, HTML5, CSS3, , jQuery, Backbone.js, RequireJS) Project responsibilities include development, testing, documentation, implementation, and maintenance Work closely with a cross-functional Scrum team to understand requirements and recommend appropriate solutions; including Project Managers/Scrum Masters, Product Owners, Designers, Backend Developers and QA Analysts Actively contribute to and enforce best practices, group standards Mentor other developers, including peer reviewing code and pair programming. Proactively keep up-to-date on industry trends and emerging technologies; drive adoption of new technologies and best practices Experience with Unity3d is desirable., Bachelors degree in a technical discipline or equivalent work experience relevant work experience developing enterprise web applications Good experience with object-oriented programming Experience with API development (i.e.: REST/SOAP/JSON) Must provide code samples (examples: URLs with descriptions of which parts you developed, zip file or equivalent profile) Demonstrated leadership as a senior/specialist, subject matter expert, architect, team lead, or equivalent role on past technical projects Experience with WebVR API (3D environment), React VR, A-frame, MOZVR. Knowledge about WebGL.",0.7715
5,the same,the same,the same,Front-End Developer," Use existing internal APIs and help develop new APIs to interact with the eShares back end services. Work closely with our full stack and backend engineers during feature development. Work closely with designers and product managers to help design front end products. Teach existing engineers best practices using modern JavaScript. Build reusable React components for use in your projects as well as company-wide projects. Build testing infrastructure to test front end code and React components., JavaScript frameworks/libraries like React or Angular.js. Very strong HTML5, CSS3, and JavaScript (ES6/ES7) skills. Strong communication skills. Comfortable regularly working in team environments. BS or MS in Computer Science or equivalent. Knowledge in React, Knockout.js, Sass, Python/Django, Postgres, Celery.",0.771
